sno,indicator,gender,input,input_value,output,-3sd,-2sd,-1sd,median,1sd,2sd,3sd
517,bmi for age,female,age,146,bmi,13.2,14.5,14.55,18.1,21.65,25.2,32.2
518,bmi for age,female,age,147,bmi,13.3,14.5,14.65,18.2,21.75,25.3,32.3
519,bmi for age,female,age,148,bmi,13.3,14.6,14.75,18.3,21.85,25.4,32.4
520,bmi for age,female,age,149,bmi,13.3,14.6,14.7,18.3,21.9,25.5,32.6
521,bmi for age,female,age,150,bmi,13.4,14.7,14.8,18.4,22,25.6,32.7
522,bmi for age,female,age,151,bmi,13.4,14.7,14.9,18.5,22.1,25.7,32.8
523,bmi for age,female,age,152,bmi,13.5,14.8,14.85,18.5,22.15,25.8,33
524,bmi for age,female,age,153,bmi,13.5,14.8,14.95,18.6,22.25,25.9,33.1
525,bmi for age,female,age,154,bmi,13.5,14.8,15.05,18.7,22.35,26,33.2
526,bmi for age,female,age,155,bmi,13.6,14.9,15,18.7,22.4,26.1,33.3
527,bmi for age,female,age,156,bmi,13.6,14.9,15.1,18.8,22.5,26.2,33.4
528,bmi for age,female,age,157,bmi,13.6,15,15.2,18.9,22.6,26.3,33.6
529,bmi for age,female,age,158,bmi,13.7,15,15.15,18.9,22.65,26.4,33.7
530,bmi for age,female,age,159,bmi,13.7,15.1,15.25,19,22.75,26.5,33.8
531,bmi for age,female,age,160,bmi,13.8,15.1,15.35,19.1,22.85,26.6,33.9
532,bmi for age,female,age,161,bmi,13.8,15.2,15.3,19.1,22.9,26.7,34
533,bmi for age,female,age,162,bmi,13.8,15.2,15.4,19.2,23,26.8,34.1
534,bmi for age,female,age,163,bmi,13.9,15.2,15.5,19.3,23.1,26.9,34.2
535,bmi for age,female,age,164,bmi,13.9,15.3,15.45,19.3,23.15,27,34.3
536,bmi for age,female,age,165,bmi,13.9,15.3,15.55,19.4,23.25,27.1,34.4
537,bmi for age,female,age,166,bmi,14,15.4,15.55,19.4,23.25,27.1,34.5
538,bmi for age,female,age,167,bmi,14,15.4,15.65,19.5,23.35,27.2,34.6
539,bmi for age,female,age,168,bmi,14,15.4,15.75,19.6,23.45,27.3,34.7
540,bmi for age,female,age,169,bmi,14.1,15.5,15.7,19.6,23.5,27.4,34.7
541,bmi for age,female,age,170,bmi,14.1,15.5,15.8,19.7,23.6,27.5,34.8
542,bmi for age,female,age,171,bmi,14.1,15.6,15.75,19.7,23.65,27.6,34.9
543,bmi for age,female,age,172,bmi,14.1,15.6,15.85,19.8,23.75,27.7,35
544,bmi for age,female,age,173,bmi,14.2,15.6,16,19.9,23.8,27.7,35.1
545,bmi for age,female,age,174,bmi,14.2,15.7,15.95,19.9,23.85,27.8,35.1
546,bmi for age,female,age,175,bmi,14.2,15.7,16.05,20,23.95,27.9,35.2
547,bmi for age,female,age,176,bmi,14.3,15.7,16,20,24,28,35.3
548,bmi for age,female,age,177,bmi,14.3,15.8,16.15,20.1,24.05,28,35.4
549,bmi for age,female,age,178,bmi,14.3,15.8,16.1,20.1,24.1,28.1,35.4
550,bmi for age,female,age,179,bmi,14.3,15.8,16.2,20.2,24.2,28.2,35.5
551,bmi for age,female,age,180,bmi,14.4,15.9,16.2,20.2,24.2,28.2,35.5
552,bmi for age,female,age,181,bmi,14.4,15.9,16.3,20.3,24.3,28.3,35.6
553,bmi for age,female,age,182,bmi,14.4,15.9,16.25,20.3,24.35,28.4,35.7
554,bmi for age,female,age,183,bmi,14.4,16,16.4,20.4,24.4,28.4,35.7
555,bmi for age,female,age,184,bmi,14.5,16,16.35,20.4,24.45,28.5,35.8
556,bmi for age,female,age,185,bmi,14.5,16,16.35,20.4,24.45,28.5,35.8
557,bmi for age,female,age,186,bmi,14.5,16,16.45,20.5,24.55,28.6,35.8
558,bmi for age,female,age,187,bmi,14.5,16.1,16.45,20.5,24.55,28.6,35.9
559,bmi for age,female,age,188,bmi,14.5,16.1,16.55,20.6,24.65,28.7,35.9
560,bmi for age,female,age,189,bmi,14.5,16.1,16.55,20.6,24.65,28.7,36
561,bmi for age,female,age,190,bmi,14.6,16.1,16.5,20.6,24.7,28.8,36
562,bmi for age,female,age,191,bmi,14.6,16.2,16.65,20.7,24.75,28.8,36
563,bmi for age,female,age,192,bmi,14.6,16.2,16.6,20.7,24.8,28.9,36.1
564,bmi for age,female,age,193,bmi,14.6,16.2,16.6,20.7,24.8,28.9,36.1
565,bmi for age,female,age,194,bmi,14.6,16.2,16.7,20.8,24.9,29,36.1
566,bmi for age,female,age,195,bmi,14.6,16.2,16.7,20.8,24.9,29,36.1
567,bmi for age,female,age,196,bmi,14.6,16.2,16.7,20.8,24.9,29,36.2
568,bmi for age,female,age,197,bmi,14.6,16.3,16.8,20.9,25,29.1,36.2
569,bmi for age,female,age,198,bmi,14.7,16.3,16.8,20.9,25,29.1,36.2
570,bmi for age,female,age,199,bmi,14.7,16.3,16.8,20.9,25,29.1,36.2
571,bmi for age,female,age,200,bmi,14.7,16.3,16.75,20.9,25.05,29.2,36.2
572,bmi for age,female,age,201,bmi,14.7,16.3,16.9,21,25.1,29.2,36.3
573,bmi for age,female,age,202,bmi,14.7,16.3,16.9,21,25.1,29.2,36.3
574,bmi for age,female,age,203,bmi,14.7,16.3,16.85,21,25.15,29.3,36.3
575,bmi for age,female,age,204,bmi,14.7,16.4,16.85,21,25.15,29.3,36.3
576,bmi for age,female,age,205,bmi,14.7,16.4,17,21.1,25.2,29.3,36.3
577,bmi for age,female,age,206,bmi,14.7,16.4,17,21.1,25.2,29.3,36.3
578,bmi for age,female,age,207,bmi,14.7,16.4,16.95,21.1,25.25,29.4,36.3
579,bmi for age,female,age,208,bmi,14.7,16.4,16.95,21.1,25.25,29.4,36.3
580,bmi for age,female,age,209,bmi,14.7,16.4,16.95,21.1,25.25,29.4,36.3
581,bmi for age,female,age,210,bmi,14.7,16.4,17.1,21.2,25.3,29.4,36.3
582,bmi for age,female,age,210,bmi,14.7,16.4,17.1,21.2,25.3,29.4,36.3
583,bmi for age,female,age,212,bmi,14.7,16.4,17.05,21.2,25.35,29.5,36.3
584,bmi for age,female,age,213,bmi,14.7,16.4,17.05,21.2,25.35,29.5,36.3
585,bmi for age,female,age,214,bmi,14.7,16.4,17.05,21.2,25.35,29.5,36.3
586,bmi for age,female,age,215,bmi,14.7,16.4,17.05,21.2,25.35,29.5,36.3
587,bmi for age,female,age,216,bmi,14.7,16.4,17.2,21.3,25.4,29.5,36.3
588,bmi for age,male,age,72,bmi,12.1,13,13.7,15.3,16.9,18.5,20.7
589,bmi for age,male,age,73,bmi,12.1,13,13.65,15.3,16.95,18.6,20.8
590,bmi for age,male,age,74,bmi,12.2,13.1,13.65,15.3,16.95,18.6,20.8
591,bmi for age,male,age,75,bmi,12.2,13.1,13.65,15.3,16.95,18.6,20.9
592,bmi for age,male,age,76,bmi,12.2,13.1,13.75,15.4,17.05,18.7,21
593,bmi for age,male,age,77,bmi,12.2,13.1,13.75,15.4,17.05,18.7,21
594,bmi for age,male,age,78,bmi,12.2,13.1,13.75,15.4,17.05,18.7,21.1
595,bmi for age,male,age,79,bmi,12.2,13.1,13.7,15.4,17.1,18.8,21.2
596,bmi for age,male,age,80,bmi,12.2,13.1,13.7,15.4,17.1,18.8,21.3
597,bmi for age,male,age,81,bmi,12.2,13.1,13.65,15.4,17.15,18.9,21.3
598,bmi for age,male,age,82,bmi,12.2,13.1,13.65,15.4,17.15,18.9,21.4
599,bmi for age,male,age,83,bmi,12.2,13.1,13.75,15.5,17.25,19,21.5
600,bmi for age,male,age,84,bmi,12.3,13.1,13.75,15.5,17.25,19,21.6
601,bmi for age,male,age,85,bmi,12.3,13.2,13.7,15.5,17.3,19.1,21.7
602,bmi for age,male,age,86,bmi,12.3,13.2,13.7,15.5,17.3,19.1,21.8
603,bmi for age,male,age,87,bmi,12.3,13.2,13.65,15.5,17.35,19.2,21.9
604,bmi for age,male,age,88,bmi,12.3,13.2,13.8,15.6,17.4,19.2,22
605,bmi for age,male,age,89,bmi,12.3,13.2,13.75,15.6,17.45,19.3,22
606,bmi for age,male,age,90,bmi,12.3,13.2,13.75,15.6,17.45,19.3,22.1
607,bmi for age,male,age,91,bmi,12.3,13.2,13.7,15.6,17.5,19.4,22.2
608,bmi for age,male,age,92,bmi,12.3,13.2,13.7,15.6,17.5,19.4,22.4
609,bmi for age,male,age,93,bmi,12.4,13.3,13.8,15.7,17.6,19.5,22.5
610,bmi for age,male,age,94,bmi,12.4,13.3,13.75,15.7,17.65,19.6,22.6
611,bmi for age,male,age,95,bmi,12.4,13.3,13.75,15.7,17.65,19.6,22.7
612,bmi for age,male,age,96,bmi,12.4,13.3,13.7,15.7,17.7,19.7,22.8
613,bmi for age,male,age,97,bmi,12.4,13.3,13.85,15.8,17.75,19.7,22.9
614,bmi for age,male,age,98,bmi,12.4,13.3,13.8,15.8,17.8,19.8,23
615,bmi for age,male,age,99,bmi,12.4,13.3,13.75,15.8,17.85,19.9,23.1
616,bmi for age,male,age,100,bmi,12.4,13.4,13.75,15.8,17.85,19.9,23.3
617,bmi for age,male,age,101,bmi,12.5,13.4,13.85,15.9,17.95,20,23.4
618,bmi for age,male,age,102,bmi,12.5,13.4,13.8,15.9,18,20.1,23.5
619,bmi for age,male,age,103,bmi,12.5,13.4,13.8,15.9,18,20.1,23.6
620,bmi for age,male,age,104,bmi,12.5,13.4,13.75,15.9,18.05,20.2,23.8
621,bmi for age,male,age,105,bmi,12.5,13.4,13.85,16,18.15,20.3,23.9
622,bmi for age,male,age,106,bmi,12.5,13.5,13.85,16,18.15,20.3,24
623,bmi for age,male,age,107,bmi,12.5,13.5,13.8,16,18.2,20.4,24.2
624,bmi for age,male,age,108,bmi,12.6,13.5,13.75,16,18.25,20.5,24.3
625,bmi for age,male,age,109,bmi,12.6,13.5,13.9,16.1,18.3,20.5,24.4
626,bmi for age,male,age,110,bmi,12.6,13.5,13.85,16.1,18.35,20.6,24.6
627,bmi for age,male,age,111,bmi,12.6,13.5,13.8,16.1,18.4,20.7,24.7
628,bmi for age,male,age,112,bmi,12.6,13.6,13.9,16.2,18.5,20.8,24.9
629,bmi for age,male,age,113,bmi,12.6,13.6,13.9,16.2,18.5,20.8,25
630,bmi for age,male,age,114,bmi,12.7,13.6,13.85,16.2,18.55,20.9,25.1
631,bmi for age,male,age,115,bmi,12.7,13.6,13.95,16.3,18.65,21,25.3
632,bmi for age,male,age,116,bmi,12.7,13.6,13.9,16.3,18.7,21.1,25.5
633,bmi for age,male,age,117,bmi,12.7,13.7,13.85,16.3,18.75,21.2,25.6
634,bmi for age,male,age,118,bmi,12.7,13.7,14,16.4,18.8,21.2,25.8
635,bmi for age,male,age,119,bmi,12.8,13.7,13.95,16.4,18.85,21.3,25.9
636,bmi for age,male,age,120,bmi,12.8,13.7,13.9,16.4,18.9,21.4,26.1
637,bmi for age,male,age,121,bmi,12.8,13.8,14,16.5,19,21.5,26.2
638,bmi for age,male,age,122,bmi,12.8,13.8,13.95,16.5,19.05,21.6,26.4
639,bmi for age,male,age,123,bmi,12.8,13.8,14.05,16.6,19.15,21.7,26.6
640,bmi for age,male,age,124,bmi,12.9,13.8,14.05,16.6,19.15,21.7,26.7
641,bmi for age,male,age,125,bmi,12.9,13.9,14,16.6,19.2,21.8,26.9
642,bmi for age,male,age,126,bmi,12.9,13.9,14.1,16.7,19.3,21.9,27
643,bmi for age,male,age,127,bmi,12.9,13.9,14.05,16.7,19.35,22,27.2
644,bmi for age,male,age,128,bmi,13,13.9,14.15,16.8,19.45,22.1,27.4
645,bmi for age,male,age,129,bmi,13,14,14.1,16.8,19.5,22.2,27.5
646,bmi for age,male,age,130,bmi,13,14,14.2,16.9,19.6,22.3,27.7
647,bmi for age,male,age,131,bmi,13,14,14.15,16.9,19.65,22.4,27.9
648,bmi for age,male,age,132,bmi,13.1,14.1,14.1,16.9,19.7,22.5,28
649,bmi for age,male,age,133,bmi,13.1,14.1,14.25,17,19.75,22.5,28.2
650,bmi for age,male,age,134,bmi,13.1,14.1,14.2,17,19.8,22.6,28.4
651,bmi for age,male,age,135,bmi,13.1,14.1,14.3,17.1,19.9,22.7,28.5
652,bmi for age,male,age,136,bmi,13.2,14.2,14.25,17.1,19.95,22.8,28.7
653,bmi for age,male,age,137,bmi,13.2,14.2,14.35,17.2,20.05,22.9,28.8
654,bmi for age,male,age,138,bmi,13.2,14.2,14.3,17.2,20.1,23,29
655,bmi for age,male,age,139,bmi,13.2,14.3,14.4,17.3,20.2,23.1,29.2
656,bmi for age,male,age,140,bmi,13.3,14.3,14.35,17.3,20.25,23.2,29.3
657,bmi for age,male,age,141,bmi,13.3,14.3,14.45,17.4,20.35,23.3,29.5
658,bmi for age,male,age,142,bmi,13.3,14.4,14.4,17.4,20.4,23.4,29.6
659,bmi for age,male,age,143,bmi,13.4,14.4,14.5,17.5,20.5,23.5,29.8
660,bmi for age,male,age,144,bmi,13.4,14.5,14.45,17.5,20.55,23.6,30
661,bmi for age,male,age,145,bmi,13.4,14.5,14.55,17.6,20.65,23.7,30.1
662,bmi for age,male,age,146,bmi,13.5,14.5,14.5,17.6,20.7,23.8,30.3
663,bmi for age,male,age,147,bmi,13.5,14.6,14.6,17.7,20.8,23.9,30.4
664,bmi for age,male,age,148,bmi,13.5,14.6,14.7,17.8,20.9,24,30.6
665,bmi for age,male,age,149,bmi,13.6,14.6,14.65,17.8,20.95,24.1,30.7
666,bmi for age,male,age,150,bmi,13.6,14.7,14.75,17.9,21.05,24.2,30.9
667,bmi for age,male,age,151,bmi,13.6,14.7,14.7,17.9,21.1,24.3,31
668,bmi for age,male,age,152,bmi,13.7,14.8,14.8,18,21.2,24.4,31.1
669,bmi for age,male,age,153,bmi,13.7,14.8,14.75,18,21.25,24.5,31.3
670,bmi for age,male,age,154,bmi,13.7,14.8,14.85,18.1,21.35,24.6,31.4
671,bmi for age,male,age,155,bmi,13.8,14.9,14.95,18.2,21.45,24.7,31.6
672,bmi for age,male,age,156,bmi,13.8,14.9,14.9,18.2,21.5,24.8,31.7
673,bmi for age,male,age,157,bmi,13.8,15,15,18.3,21.6,24.9,31.8
674,bmi for age,male,age,158,bmi,13.9,15,15.1,18.4,21.7,25,31.9
675,bmi for age,male,age,159,bmi,13.9,15.1,15.05,18.4,21.75,25.1,32.1
676,bmi for age,male,age,160,bmi,14,15.1,15.15,18.5,21.85,25.2,32.2
677,bmi for age,male,age,161,bmi,14,15.2,15.3,18.6,21.9,25.2,32.3
678,bmi for age,male,age,162,bmi,14,15.2,15.25,18.6,21.95,25.3,32.4
679,bmi for age,male,age,163,bmi,14.1,15.2,15.35,18.7,22.05,25.4,32.6
680,bmi for age,male,age,164,bmi,14.1,15.3,15.3,18.7,22.1,25.5,32.7
681,bmi for age,male,age,165,bmi,14.1,15.3,15.4,18.8,22.2,25.6,32.8
682,bmi for age,male,age,166,bmi,14.2,15.4,15.5,18.9,22.3,25.7,32.9
683,bmi for age,male,age,167,bmi,14.2,15.4,15.45,18.9,22.35,25.8,33
684,bmi for age,male,age,168,bmi,14.3,15.5,15.55,19,22.45,25.9,33.1
685,bmi for age,male,age,169,bmi,14.3,15.5,15.65,19.1,22.55,26,33.2
686,bmi for age,male,age,170,bmi,14.3,15.6,15.6,19.1,22.6,26.1,33.3
687,bmi for age,male,age,171,bmi,14.4,15.6,15.7,19.2,22.7,26.2,33.4
688,bmi for age,male,age,172,bmi,14.4,15.7,15.8,19.3,22.8,26.3,33.5
689,bmi for age,male,age,173,bmi,14.5,15.7,15.75,19.3,22.85,26.4,33.5
690,bmi for age,male,age,174,bmi,14.5,15.7,15.85,19.4,22.95,26.5,33.6
691,bmi for age,male,age,175,bmi,14.5,15.8,16,19.5,23,26.5,33.7
692,bmi for age,male,age,176,bmi,14.6,15.8,15.95,19.5,23.05,26.6,33.8
693,bmi for age,male,age,177,bmi,14.6,15.9,16.05,19.6,23.15,26.7,33.9
694,bmi for age,male,age,178,bmi,14.6,15.9,16,19.6,23.2,26.8,33.9
695,bmi for age,male,age,179,bmi,14.7,16,16.1,19.7,23.3,26.9,34
696,bmi for age,male,age,180,bmi,14.7,16,16.2,19.8,23.4,27,34.1
697,bmi for age,male,age,181,bmi,14.7,16.1,16.15,19.8,23.45,27.1,34.1
698,bmi for age,male,age,182,bmi,14.8,16.1,16.3,19.9,23.5,27.1,34.2
699,bmi for age,male,age,183,bmi,14.8,16.1,16.4,20,23.6,27.2,34.3
700,bmi for age,male,age,184,bmi,14.8,16.2,16.35,20,23.65,27.3,34.3
701,bmi for age,male,age,185,bmi,14.9,16.2,16.45,20.1,23.75,27.4,34.4
702,bmi for age,male,age,186,bmi,14.9,16.3,16.45,20.1,23.75,27.4,34.5
703,bmi for age,male,age,187,bmi,15,16.3,16.55,20.2,23.85,27.5,34.5
704,bmi for age,male,age,188,bmi,15,16.3,16.65,20.3,23.95,27.6,34.6
705,bmi for age,male,age,189,bmi,15,16.4,16.6,20.3,24,27.7,34.6
706,bmi for age,male,age,190,bmi,15,16.4,16.75,20.4,24.05,27.7,34.7
707,bmi for age,male,age,191,bmi,15.1,16.5,16.7,20.4,24.1,27.8,34.7
708,bmi for age,male,age,192,bmi,15.1,16.5,16.8,20.5,24.2,27.9,34.8
709,bmi for age,male,age,193,bmi,15.1,16.5,16.95,20.6,24.25,27.9,34.8
710,bmi for age,male,age,194,bmi,15.2,16.6,16.9,20.6,24.3,28,34.8
711,bmi for age,male,age,195,bmi,15.2,16.6,17,20.7,24.4,28.1,34.9
712,bmi for age,male,age,196,bmi,15.2,16.7,17,20.7,24.4,28.1,34.9
713,bmi for age,male,age,197,bmi,15.3,16.7,17.1,20.8,24.5,28.2,35
714,bmi for age,male,age,198,bmi,15.3,16.7,17.05,20.8,24.55,28.3,35
715,bmi for age,male,age,199,bmi,15.3,16.8,17.2,20.9,24.6,28.3,35
716,bmi for age,male,age,200,bmi,15.3,16.8,17.15,20.9,24.65,28.4,35.1
717,bmi for age,male,age,201,bmi,15.4,16.8,17.25,21,24.75,28.5,35.1
718,bmi for age,male,age,202,bmi,15.4,16.9,17.25,21,24.75,28.5,35.1
719,bmi for age,male,age,203,bmi,15.4,16.9,17.35,21.1,24.85,28.6,35.2
720,bmi for age,male,age,204,bmi,15.4,16.9,17.35,21.1,24.85,28.6,35.2
721,bmi for age,male,age,205,bmi,15.5,17,17.45,21.2,24.95,28.7,35.2
722,bmi for age,male,age,206,bmi,15.5,17,17.45,21.2,24.95,28.7,35.2
723,bmi for age,male,age,207,bmi,15.5,17,17.55,21.3,25.05,28.8,35.3
724,bmi for age,male,age,208,bmi,15.5,17.1,17.5,21.3,25.1,28.9,35.3
725,bmi for age,male,age,209,bmi,15.6,17.1,17.65,21.4,25.15,28.9,35.3
726,bmi for age,male,age,210,bmi,15.6,17.1,17.6,21.4,25.2,29,35.3
727,bmi for age,male,age,210,bmi,15.6,17.1,17.75,21.5,25.25,29,35.4
728,bmi for age,male,age,212,bmi,15.6,17.2,17.7,21.5,25.3,29.1,35.4
729,bmi for age,male,age,213,bmi,15.6,17.2,17.85,21.6,25.35,29.1,35.4
730,bmi for age,male,age,214,bmi,15.7,17.2,17.8,21.6,25.4,29.2,35.4
731,bmi for age,male,age,215,bmi,15.7,17.3,17.95,21.7,25.45,29.2,35.4
732,bmi for age,male,age,216,bmi,15.7,17.3,17.95,21.7,25.45,29.2,35.4
